,cell_line,drug,auc_norm,auc_norm_extrapolated,relative_auc_decrease
0,LN229,Drug07,1.4359282287723618,0.8589042806030979,0.4018473462720258
1,LN229,Drug17,1.5279239447567974,1.0360433356522742,0.3219274171286168
2,LN229,Drug09,1.345143752677439,0.998602285559994,0.2576241137258915
3,LN229,Drug03,1.143069311374345,0.8534076193380052,0.2534069361796366
4,LN229,Drug04,1.2332002900454002,0.926573413191049,0.24864320851162203
5,LN229,Drug01,1.1199050576038017,0.8726819907309576,0.22075359441791736
6,LN308,Drug16,0.2981210743298689,0.2383256197792541,0.20057439644287456
7,LN229,Drug15,1.2494434405048185,0.9994224626684408,0.20010587893067053
8,LN229,Drug16,0.3829179036620221,0.3200174966960912,0.16426603813607316
9,LN229,Drug13,1.1867345869293016,0.9990959618601084,0.15811338705035274
10,UW228-3,Drug10,0.8879162297604866,0.7504372552387217,0.15483327133106856
11,T98G,Drug02,0.9350794231605573,0.8049243653509532,0.13919144682884954
12,LN308,Drug00,1.2519465632079363,1.0809879379474456,0.13655425102364857
13,UW228-3,Drug04,0.9950465860015938,0.8623489243977946,0.13335824017749717
14,LN229,Drug11,0.813381626366271,0.7061632542620964,0.13181804042361475
15,UW228-3,Drug02,0.9601893786385322,0.8460036082840822,0.11892005149687848
16,LN308,Drug11,0.7813311070782882,0.6887243444826636,0.1185243512726872
17,LN229,Drug05,1.122437358284644,0.991099600114874,0.11701121421197705
18,UW228-3,Drug05,1.0057976571328475,0.8902659770137454,0.1148657280117749
19,T98G,Drug03,1.075575241470804,0.9622090363752148,0.1054005342671942
20,LN229,Drug12,0.8664716031439771,0.7758592567429226,0.10457624470584981
21,LN229,Drug06,1.0073228542417656,0.9073284224211596,0.09926751031165078
22,UW228-3,Drug00,1.1057187142506175,0.9988758019572376,0.09662756984789839
23,LN308,Drug05,1.0407321855379728,0.9436820582535034,0.0932517785392622
24,UW228-3,Drug11,0.7057656314720705,0.6476063866118125,0.08240588981210484
25,UW228-3,Drug15,0.9861812290628502,0.905808552593544,0.081498890975326
26,UW228-3,Drug18,1.1073403763140757,1.0209368990695886,0.07802792988736859
27,T98G,Drug17,0.8155649799557205,0.7548336899633138,0.07446529888483444
28,T98G,Drug07,0.9657899267602756,0.8969963435691757,0.07123037969744285
29,LN308,Drug02,0.9684211441939382,0.902651267079392,0.06791454059926531
30,UW228-3,Drug07,0.8855671264121447,0.8260852128529174,0.06716815900813417
31,LN308,Drug07,0.8798857641103713,0.8271924299382587,0.059886562916936656
32,UW228-3,Drug17,0.9712825831264934,0.9198202148783284,0.05298392984924229
33,UW228-3,Drug01,0.9658978192042316,0.9221468025291198,0.045295698784325454
