,cell_line,drug,vus_norm,vus_norm_extrapolated,absolute_vus_decrease,relative_vus_decrease
0,LN229,Drug11,0.6908554885142261,0.4207862401298124,0.27006924838441365,0.3909200301284896
1,UW228-3,Drug04,0.7760345659561524,0.6163849963734167,0.15964956958273568,0.20572481766457323
2,LN308,Drug16,0.5063487081127281,0.4208714163765352,0.08547729173619295,0.16881111843809266
3,LN229,Drug10,0.6517505690130776,0.5472373595336693,0.10451320947940834,0.16035768045077264
4,T98G,Drug16,0.5922068671468146,0.5040818600308485,0.08812500711596605,0.14880781025141152
5,LN229,Drug16,0.7787729558432438,0.6632558515544782,0.1155171042887656,0.14833219800716552
6,T98G,Drug15,0.8766340750014885,0.7496176356973023,0.12701643930418616,0.1448910587966484
7,UW228-3,Drug05,0.7997433471076124,0.6992082313515317,0.10053511575608076,0.12570922424010222
8,UW228-3,Drug16,0.734118448401996,0.6430601083534727,0.09105834004852331,0.12403766755451522
9,T98G,Drug02,0.8722324445521574,0.7779319521899711,0.0943004923621863,0.10811394709194098
10,LN229,Drug02,0.8354610243489228,0.7459488884406001,0.08951213590832263,0.1071410075390168
11,LN308,Drug05,0.9458485994396514,0.8538320837649057,0.09201651567474567,0.09728461376298381
12,LN229,Drug06,0.929417403467694,0.8500271594747972,0.07939024399289674,0.08541936453598623
13,T98G,Drug03,0.8936608128837429,0.8234143349089524,0.07024647797479044,0.07860530187970642
14,UW228-3,Drug11,0.8054265891494848,0.7452488974017601,0.06017769174772469,0.07471530311815405
15,LN308,Drug11,0.8468142127843393,0.7839191872382543,0.06289502554608506,0.07427251998910736
16,LN229,Drug08,0.9641155465148266,0.8942370434277706,0.06987850308705601,0.07247938625163679
17,LN229,Drug01,0.911986492438284,0.8470827474780729,0.06490374496021112,0.0711674410732605
18,LN229,Drug15,0.9678559991992112,0.8997207396465199,0.06813525955269129,0.07039813733558022
19,LN229,Drug13,0.9091180560803104,0.8454947019679576,0.06362335411235276,0.06998359969514492
20,LN229,Drug14,0.9026130399417014,0.8442063494090326,0.05840669053266878,0.06470844974324899
21,UW228-3,Drug07,0.9323874528538486,0.8763299314872705,0.056057521366578156,0.0601225608463493
22,T98G,Drug11,0.9206875477097134,0.8682952799294164,0.05239226778029704,0.056905589643986336
23,LN229,Drug09,0.975025765397198,0.9195775018272436,0.05544826356995436,0.05686851110787447
24,UW228-3,Drug03,0.9000949800568036,0.8511433388637195,0.04895164119308404,0.05438497300584298
25,T98G,Drug13,0.8286363224215288,0.7856738249060992,0.04296249751542969,0.05184722942132216
26,T98G,Drug14,0.8741778328046164,0.8288990822153424,0.045278750589274,0.05179581189333824
27,LN229,Drug05,0.868195918150517,0.8278958268413369,0.04030009130918011,0.04641819947164665
28,LN308,Drug07,0.928696158035372,0.8865192268366355,0.042176931198736445,0.04541521016729566
29,UW228-3,Drug01,0.972943532164606,0.9324997388241072,0.04044379334049886,0.04156848984906601
30,T98G,Drug08,0.9493100110327308,0.9170673198206232,0.032242691212107655,0.033964343404565625
31,LN308,Drug10,0.9799619143910496,0.9526883690861148,0.027273545304934865,0.027831229871706498
32,LN308,Drug04,0.979628187236659,0.9542038066045228,0.025424380632136256,0.02595309216637947
33,T98G,Drug09,0.9634441362250248,0.9397188127195476,0.02372532350547718,0.02462553106445585
34,LN308,Drug12,0.9837029763146972,0.9610709509932364,0.022632025321460802,0.023006970464040332
35,LN229,Drug17,0.8739595712938313,0.8580324990655503,0.015927072228280936,0.01822403776035327
36,T98G,Drug06,0.9904723311879834,0.9731419673608565,0.017330363827126938,0.017497070116376405
37,LN308,Drug00,0.9870870462085364,0.9708181481504564,0.01626889805807996,0.01648172582202332
38,LN229,Drug03,0.8711772505045562,0.8589646120875097,0.01221263841704645,0.014018546065078383
39,T98G,Drug12,0.9858112022205529,0.9731111746656153,0.012700027554937598,0.012882819272423175
40,LN308,Drug01,0.9953104642074246,0.9889074848730388,0.006402979334385828,0.006433147811305874
41,LN308,Drug17,1.003387342986415,1.0003579475755355,0.003029395410879543,0.003019168451799534
42,UW228-3,Drug17,0.9988047506897468,0.9983211874477256,0.00048356324202125656,0.00048414191230800735
43,UW228-3,Drug00,0.9986543101278612,0.9981718527059784,0.00048245742188279817,0.00048310753479953184
44,T98G,Drug01,0.9988838595962451,0.9986002909758616,0.00028356862038358965,0.0002838854764338767
45,LN308,Drug09,1.0000000000000075,0.9999999999999916,1.5987211554602254e-14,1.5987211554602134e-14
46,T98G,Drug00,0.9972686799799176,0.9976782315778052,-0.0004095515978875808,-0.0004106732780335868
47,LN229,Drug00,1.0036704824547242,1.007512019735054,-0.0038415372803297654,-0.003827488550758548
48,T98G,Drug05,1.0013310132378066,1.0056276977951724,-0.00429668455736576,-0.004290973215213237
49,T98G,Drug04,1.0016925161849008,1.005993053663717,-0.004300537478816091,-0.004293271048081047
50,LN308,Drug14,0.9872756099416022,0.9928369968517644,-0.005561386910162169,-0.005633064216476621
51,T98G,Drug18,0.9669443573468094,0.972508579583862,-0.005564222237052663,-0.005754438913445119
52,LN308,Drug02,0.9848093816787534,0.9909979635989956,-0.0061885819202421866,-0.006284040379157266
53,UW228-3,Drug18,0.9823354459562454,0.9919349086363686,-0.009599462680123128,-0.009772082153442625
54,UW228-3,Drug06,0.9816008501821138,0.991522514513662,-0.009921664331548175,-0.010107636245126962
55,LN308,Drug13,1.0072839326022245,1.0181004418912456,-0.010816509289021115,-0.010738292291705346
56,LN308,Drug03,0.9330486407847732,0.9436468379067026,-0.010598197121929331,-0.011358675913203567
57,LN308,Drug18,1.0799686887799482,1.0944149091362574,-0.014446220356309158,-0.013376517769815348
58,LN308,Drug06,0.9725342833871512,0.9864621636222414,-0.013927880235090173,-0.014321222884382055
59,UW228-3,Drug13,0.971894560702213,0.9861095002770236,-0.01421493957481057,-0.01462601001135349
60,UW228-3,Drug12,1.051627845705111,1.0709209173803125,-0.019293071675201556,-0.018345911772872137
61,UW228-3,Drug10,0.9185154168191404,0.94395607423407,-0.025440657414929624,-0.027697583458132634
62,LN308,Drug15,1.0175844883780514,1.0475091472608544,-0.029924658882803046,-0.029407542297053457
63,UW228-3,Drug08,1.041398620389567,1.0767087991514224,-0.03531017876185527,-0.033906496581152
64,LN229,Drug07,0.9205491623634288,0.9614862797337996,-0.04093711737037087,-0.044470321677626025
65,LN229,Drug12,0.8545684569095985,0.8987428682900745,-0.044174411380476064,-0.051692068696550436
66,T98G,Drug17,0.9576717238665324,1.0274946550750923,-0.06982293120855987,-0.07290904541553621
67,T98G,Drug10,1.020923609180877,1.098429194488994,-0.0775055853081168,-0.07591712505336443
68,UW228-3,Drug09,1.12325169892216,1.2138326914025748,-0.09058099248041485,-0.0806417587147509
69,LN308,Drug08,1.186854443174849,1.330012974804555,-0.14315853162970615,-0.12062012528407062
70,UW228-3,Drug15,1.229149885801578,1.3949691904523214,-0.16581930465074346,-0.13490568283509707
71,T98G,Drug07,1.2776160154006222,1.4594318840039722,-0.18181586860334997,-0.1423086955796636
72,LN229,Drug04,1.0545738596059748,1.2125748302386783,-0.15800097063270346,-0.1498244709874926
73,UW228-3,Drug14,1.3676559302706697,1.583417699396644,-0.21576176912597433,-0.15776027021889447
74,UW228-3,Drug02,1.3088183317863773,1.5252094285039126,-0.21639109671753531,-0.16533317990907712
75,LN229,Drug18,1.3433059955709117,1.6609101049461574,-0.31760410937524575,-0.23643466970477
