,cell_line,drug,vus_norm,vus_norm_extrapolated,absolute_vus_decrease,relative_vus_decrease
0,LN229,Drug11,0.509881736996608,0.3642222744012675,0.14565946259534052,0.2856730336201658
1,T98G,Drug14,0.6931812220924156,0.5523177568662571,0.14086346522615856,0.20321304261669468
2,UW228-3,Drug11,0.6306668383186199,0.5082946169670702,0.12237222135154968,0.19403623897174987
3,LN308,Drug11,0.7929938262558744,0.7005784609031177,0.09241536535275674,0.11653982955844246
4,LN229,Drug10,0.8513167156200808,0.7527257811010235,0.09859093451905732,0.11580993619659612
5,LN308,Drug16,0.7037373543631129,0.6292970319137613,0.07444032244935161,0.10577855784949858
6,UW228-3,Drug18,0.835269101315245,0.7567511349302151,0.07851796638502995,0.09400319760588859
7,LN229,Drug15,0.9435481267395988,0.8598033999054,0.08374472683419876,0.08875511959689439
8,LN229,Drug01,0.9365275830425038,0.8541659105600218,0.08236167248248205,0.08794366975814327
9,LN229,Drug14,0.9225410321050934,0.8466954264669623,0.07584560563813114,0.082213801878344
10,LN229,Drug09,0.9215177062349142,0.8465822784316375,0.07493542780327678,0.08131740420858952
11,UW228-3,Drug16,0.7908358371954625,0.7313129078956413,0.05952292929982117,0.07526584722172817
12,T98G,Drug09,0.889398756583837,0.8227793549995478,0.06661940158428925,0.07490386184052365
13,T98G,Drug00,0.8567952896650783,0.7987727680788599,0.058022521586218456,0.06772040216152389
14,UW228-3,Drug05,0.7906135970722017,0.7373195716882406,0.05329402538396111,0.06740843514621986
15,LN308,Drug03,0.9167700615946472,0.8550862580279323,0.06168380356671499,0.0672838328287259
16,T98G,Drug11,0.955714956691196,0.8925946175130747,0.06312033917812132,0.06604515157600105
17,T98G,Drug08,0.914992156922432,0.8599855735079187,0.055006583414513255,0.06011699990907836
18,T98G,Drug01,0.9152290692787844,0.8649876548590504,0.050241414419734065,0.05489490675741443
19,LN308,Drug12,0.9616302224964172,0.9112423478183946,0.050387874678022526,0.052398389213698264
20,LN229,Drug16,0.7869577333690796,0.7473523509585186,0.039605382410560996,0.05032720403039263
21,T98G,Drug02,0.9096622234586342,0.8647558974582588,0.044906326000375474,0.04936593478581177
22,UW228-3,Drug15,0.9274078647815884,0.884662602896348,0.042745261885240415,0.046091114285845794
23,LN308,Drug02,0.875912964941248,0.835542036519634,0.04037092842161405,0.04609011401529139
24,T98G,Drug16,0.8336815043905529,0.7952655949957038,0.03841590939484907,0.046079838874358015
25,UW228-3,Drug10,0.8391590819882481,0.8010753862347032,0.038083695753544866,0.045383165803689896
26,UW228-3,Drug14,0.9169979601723312,0.8766636471204433,0.04033431305188784,0.043985172054589766
27,LN229,Drug03,0.866015435034006,0.8312462784430161,0.03476915659098989,0.040148425979987995
28,UW228-3,Drug04,0.8824012069408274,0.8480439838451443,0.03435722309568301,0.03893605632611851
29,UW228-3,Drug03,0.805405757323855,0.7743836817728992,0.03102207555095582,0.03851732529704502
30,UW228-3,Drug06,0.8040301417584587,0.773495395789547,0.030534745968911703,0.03797711600976863
31,T98G,Drug06,0.95498545936175,0.9200972001062498,0.03488825925550021,0.03653276488504573
32,UW228-3,Drug00,0.8873709348135232,0.8552488996786385,0.03212203513488476,0.03619910668094516
33,T98G,Drug12,0.9651683191580605,0.931472780254619,0.03369553890344146,0.034911567479582094
34,T98G,Drug18,0.983920880141997,0.9515559871098098,0.03236489303218715,0.032893796325895966
35,UW228-3,Drug09,0.9840596035167342,0.9525480148441992,0.03151158867253501,0.03202203256786686
36,LN229,Drug12,0.7553655042842966,0.7312437746397613,0.024121729644535295,0.03193385123853446
37,UW228-3,Drug17,0.9528414603634344,0.9235574662757424,0.029283994087692,0.030733333199546596
38,LN229,Drug07,0.7696394329779274,0.751625058332799,0.01801437464512834,0.023406252165934664
39,LN308,Drug09,0.9859488637876836,0.9650036365169816,0.020945227270702027,0.02124372575494181
40,T98G,Drug04,0.9609649726357578,0.9408118731206354,0.02015309951512234,0.020971731633303903
41,UW228-3,Drug02,0.9429550615020496,0.9246537415101348,0.018301319991914755,0.019408475270032765
42,LN308,Drug00,0.989940894233759,0.97564051928129,0.014300374952468942,0.014445685632108187
43,T98G,Drug03,0.9951924311256768,0.9817329293400912,0.013459501785585637,0.013524521855900166
44,T98G,Drug07,0.9874209078325988,0.976821755654632,0.010599152177966809,0.010734178397368635
45,T98G,Drug13,0.9965473810759576,0.9861819651385328,0.010365415937424793,0.010401327758478884
46,LN308,Drug05,0.9173080687393096,0.9092435333036212,0.008064535435688414,0.008791523491962524
47,T98G,Drug15,0.9982416066329438,0.992144351271926,0.006097255361017795,0.006107995620002015
48,T98G,Drug10,0.9816872324205624,0.9763676243004058,0.005319608120156638,0.005418842116383639
49,T98G,Drug05,0.998735944232152,0.9952022796588464,0.003533664573305506,0.0035381369757571486
50,T98G,Drug17,0.9982160359203706,0.9978971696851096,0.0003188662352610061,0.00031943609778519187
51,LN308,Drug14,1.0008894904467889,1.0008745129004768,1.497754631207826e-05,1.4964235767319733e-05
52,LN229,Drug08,1.00000000000003,1.0000000000000036,2.6423307986078726e-14,2.6423307986077934e-14
53,LN229,Drug18,0.9999999999999942,0.9999999999999988,-4.551914400963142e-15,-4.551914400963168e-15
54,LN308,Drug13,0.999999999999986,1.0000000000000289,-4.285460875053104e-14,-4.285460875053164e-14
55,LN308,Drug15,0.9999999999999922,1.000000000000042,-4.973799150320701e-14,-4.97379915032074e-14
