,Patient,Template,Plate,Well,Value,NonRandomWell,Fluid,Concentration,Unit,Dispensedvolume,Content,Top,Steepness,IC50,Bottom,R2
0,LN308-120,HDACi-Kinetics,1,A01,,,,,,,,,,,,
1,LN308-120,HDACi-Kinetics,1,A02,,,,,,,,,,,,
2,LN308-120,HDACi-Kinetics,1,A03,,,,,,,,,,,,
3,LN308-120,HDACi-Kinetics,1,A04,,,,,,,,,,,,
4,LN308-120,HDACi-Kinetics,1,A05,,,,,,,,,,,,
5,LN308-120,HDACi-Kinetics,1,A06,,,,,,,,,,,,
6,LN308-120,HDACi-Kinetics,1,A07,,,,,,,,,,,,
7,LN308-120,HDACi-Kinetics,1,A08,,,,,,,,,,,,
8,LN308-120,HDACi-Kinetics,1,A09,,,,,,,,,,,,
9,LN308-120,HDACi-Kinetics,1,A10,,,,,,,,,,,,
10,LN308-120,HDACi-Kinetics,1,A11,,,,,,,,,,,,
11,LN308-120,HDACi-Kinetics,1,A12,,,,,,,,,,,,
12,LN308-120,HDACi-Kinetics,1,A13,,,,,,,,,,,,
13,LN308-120,HDACi-Kinetics,1,A14,,,,,,,,,,,,
14,LN308-120,HDACi-Kinetics,1,A15,,,,,,,,,,,,
15,LN308-120,HDACi-Kinetics,1,A16,,,,,,,,,,,,
16,LN308-120,HDACi-Kinetics,1,A17,,,,,,,,,,,,
17,LN308-120,HDACi-Kinetics,1,A18,,,,,,,,,,,,
18,LN308-120,HDACi-Kinetics,1,A19,,,,,,,,,,,,
19,LN308-120,HDACi-Kinetics,1,A20,,,,,,,,,,,,
20,LN308-120,HDACi-Kinetics,1,A21,,,,,,,,,,,,
21,LN308-120,HDACi-Kinetics,1,A22,,,,,,,,,,,,
22,LN308-120,HDACi-Kinetics,1,A23,,,,,,,,,,,,
23,LN308-120,HDACi-Kinetics,1,A24,,,,,,,,,,,,
24,LN308-120,HDACi-Kinetics,1,B01,,,,,,,,,,,,
25,LN308-120,HDACi-Kinetics,1,B02,,,,,,,,,,,,
26,LN308-120,HDACi-Kinetics,1,B03,,,,,,,,,,,,
27,LN308-120,HDACi-Kinetics,1,B04,,,,,,,,,,,,
28,LN308-120,HDACi-Kinetics,1,B05,,,,,,,,,,,,
29,LN308-120,HDACi-Kinetics,1,B06,,,,,,,,,,,,
30,LN308-120,HDACi-Kinetics,1,B07,,,,,,,,,,,,
31,LN308-120,HDACi-Kinetics,1,B08,,,,,,,,,,,,
32,LN308-120,HDACi-Kinetics,1,B09,,,,,,,,,,,,
33,LN308-120,HDACi-Kinetics,1,B10,,,,,,,,,,,,
34,LN308-120,HDACi-Kinetics,1,B11,,,,,,,,,,,,
35,LN308-120,HDACi-Kinetics,1,B12,,,,,,,,,,,,
36,LN308-120,HDACi-Kinetics,1,B13,,,,,,,,,,,,
37,LN308-120,HDACi-Kinetics,1,B14,,,,,,,,,,,,
38,LN308-120,HDACi-Kinetics,1,B15,,,,,,,,,,,,
39,LN308-120,HDACi-Kinetics,1,B16,,,,,,,,,,,,
40,LN308-120,HDACi-Kinetics,1,B17,,,,,,,,,,,,
41,LN308-120,HDACi-Kinetics,1,B18,,,,,,,,,,,,
42,LN308-120,HDACi-Kinetics,1,B19,,,,,,,,,,,,
43,LN308-120,HDACi-Kinetics,1,B20,,,,,,,,,,,,
44,LN308-120,HDACi-Kinetics,1,B21,,,,,,,,,,,,
45,LN308-120,HDACi-Kinetics,1,B22,,,,,,,,,,,,
46,LN308-120,HDACi-Kinetics,1,B23,,,,,,,,,,,,
47,LN308-120,HDACi-Kinetics,1,B24,,,,,,,,,,,,
48,LN308-120,HDACi-Kinetics,1,C01,,,,,,,,,,,,
49,LN308-120,HDACi-Kinetics,1,C02,,,,,,,,,,,,
50,LN308-120,HDACi-Kinetics,1,C03,1996330.0,G12,Drug17,0.004329000002453,µM,0.013,Sample,2772724.1923603085,12.04598874162524,0.004108822762,1582325.7992437934,0.8561234744451522
51,LN308-120,HDACi-Kinetics,1,C04,388046.0,D19,Drug02,9.99000000999,µM,30.0,Sample,1706558.4463679472,0.8901990213227433,65887.2417159755,-3285104264.2839,0.9701207972678764
