,Patient,Template,Plate,Well,Value,NonRandomWell,Fluid,Concentration,Unit,Dispensedvolume,Content,Top,Steepness,IC50,Bottom,R2
0,T98G-120,HDACi-Kinetics,1,A01,,,,,,,,,,,,
1,T98G-120,HDACi-Kinetics,1,A02,,,,,,,,,,,,
2,T98G-120,HDACi-Kinetics,1,A03,,,,,,,,,,,,
3,T98G-120,HDACi-Kinetics,1,A04,,,,,,,,,,,,
4,T98G-120,HDACi-Kinetics,1,A05,,,,,,,,,,,,
5,T98G-120,HDACi-Kinetics,1,A06,,,,,,,,,,,,
6,T98G-120,HDACi-Kinetics,1,A07,,,,,,,,,,,,
7,T98G-120,HDACi-Kinetics,1,A08,,,,,,,,,,,,
8,T98G-120,HDACi-Kinetics,1,A09,,,,,,,,,,,,
9,T98G-120,HDACi-Kinetics,1,A10,,,,,,,,,,,,
10,T98G-120,HDACi-Kinetics,1,A11,,,,,,,,,,,,
11,T98G-120,HDACi-Kinetics,1,A12,,,,,,,,,,,,
12,T98G-120,HDACi-Kinetics,1,A13,,,,,,,,,,,,
13,T98G-120,HDACi-Kinetics,1,A14,,,,,,,,,,,,
14,T98G-120,HDACi-Kinetics,1,A15,,,,,,,,,,,,
15,T98G-120,HDACi-Kinetics,1,A16,,,,,,,,,,,,
16,T98G-120,HDACi-Kinetics,1,A17,,,,,,,,,,,,
17,T98G-120,HDACi-Kinetics,1,A18,,,,,,,,,,,,
18,T98G-120,HDACi-Kinetics,1,A19,,,,,,,,,,,,
19,T98G-120,HDACi-Kinetics,1,A20,,,,,,,,,,,,
20,T98G-120,HDACi-Kinetics,1,A21,,,,,,,,,,,,
21,T98G-120,HDACi-Kinetics,1,A22,,,,,,,,,,,,
22,T98G-120,HDACi-Kinetics,1,A23,,,,,,,,,,,,
23,T98G-120,HDACi-Kinetics,1,A24,,,,,,,,,,,,
24,T98G-120,HDACi-Kinetics,1,B01,,,,,,,,,,,,
25,T98G-120,HDACi-Kinetics,1,B02,,,,,,,,,,,,
26,T98G-120,HDACi-Kinetics,1,B03,,,,,,,,,,,,
27,T98G-120,HDACi-Kinetics,1,B04,,,,,,,,,,,,
28,T98G-120,HDACi-Kinetics,1,B05,,,,,,,,,,,,
29,T98G-120,HDACi-Kinetics,1,B06,,,,,,,,,,,,
30,T98G-120,HDACi-Kinetics,1,B07,,,,,,,,,,,,
31,T98G-120,HDACi-Kinetics,1,B08,,,,,,,,,,,,
32,T98G-120,HDACi-Kinetics,1,B09,,,,,,,,,,,,
33,T98G-120,HDACi-Kinetics,1,B10,,,,,,,,,,,,
34,T98G-120,HDACi-Kinetics,1,B11,,,,,,,,,,,,
35,T98G-120,HDACi-Kinetics,1,B12,,,,,,,,,,,,
36,T98G-120,HDACi-Kinetics,1,B13,,,,,,,,,,,,
37,T98G-120,HDACi-Kinetics,1,B14,,,,,,,,,,,,
38,T98G-120,HDACi-Kinetics,1,B15,,,,,,,,,,,,
39,T98G-120,HDACi-Kinetics,1,B16,,,,,,,,,,,,
40,T98G-120,HDACi-Kinetics,1,B17,,,,,,,,,,,,
41,T98G-120,HDACi-Kinetics,1,B18,,,,,,,,,,,,
42,T98G-120,HDACi-Kinetics,1,B19,,,,,,,,,,,,
43,T98G-120,HDACi-Kinetics,1,B20,,,,,,,,,,,,
44,T98G-120,HDACi-Kinetics,1,B21,,,,,,,,,,,,
45,T98G-120,HDACi-Kinetics,1,B22,,,,,,,,,,,,
46,T98G-120,HDACi-Kinetics,1,B23,,,,,,,,,,,,
47,T98G-120,HDACi-Kinetics,1,B24,,,,,,,,,,,,
48,T98G-120,HDACi-Kinetics,1,C01,,,,,,,,,,,,
49,T98G-120,HDACi-Kinetics,1,C02,,,,,,,,,,,,
50,T98G-120,HDACi-Kinetics,1,C03,2066080.0,G12,Drug17,0.004329000002453,µM,0.013,Sample,346563557.99685675,8.924973269073936,0.0020880036278961,1552022.2874660967,0.7339892515848598
51,T98G-120,HDACi-Kinetics,1,C04,1223137.0,D19,Drug02,9.99000000999,µM,30.0,Sample,12095903.13359948,0.0991677498553958,6.306205829584791e-12,548297.5504853505,0.9293444838719118
52,T98G-120,HDACi-Kinetics,1,C05,1757966.0,F06,Drug05,0.0932399991985,µM,0.28,Sample,520428.6315679022,10.608804312648571,0.0038816082145101,1698507.2049121151,0.5490924813225482
53,T98G-120,HDACi-Kinetics,1,C06,1831081.0,D04,Drug07,0.0932399991985,µM,0.28,Sample,1630669.9276899088,7.7513098727129615,2.81378982101929,603451.7072963708,0.9231015426449328
54,T98G-120,HDACi-Kinetics,1,C07,1937390.0,D09,Drug06,0.452879980002,µM,1.36,Sample,1609602.5000314936,13.01274287508349,2.4555591617225465,1095612.9939389704,0.564452036862811
55,T98G-120,HDACi-Kinetics,1,C08,1950075.0,E04,Drug02,0.004329000002453,µM,0.013,Sample,12095903.13359948,0.0991677498553958,6.306205829584791e-12,548297.5504853505,0.9293444838719118
56,T98G-120,HDACi-Kinetics,1,C09,1694974.0,D18,Drug12,0.004329000002453,µM,0.013,Sample,1536776.8986932086,1.0499930632891057,13015.048906139942,-888280318.8461635,0.8242183357989478
57,T98G-120,HDACi-Kinetics,1,C10,1887116.0,F22,Drug18,2.131199549246,µM,6.4,Sample,1507127.4964270086,13.592873656008052,0.1186663646731101,1743024.0007858498,0.5220697989441531
58,T98G-120,HDACi-Kinetics,1,C11,1575683.0,E22,Drug10,0.004329000002453,µM,0.013,Sample,1544798.8017998144,10.895200865899945,9.688435219264855,1373736.4483195792,0.5405351163953902
59,T98G-120,HDACi-Kinetics,1,C12,1356695.0,C04,Drug11,2.131199549246,µM,6.4,Sample,1660536.65075374,1.6863927509919714,6.707351362352599,-745715.9031201993,0.9688712282848958
60,T98G-120,HDACi-Kinetics,1,C13,1638518.0,D22,Drug02,0.0932399991985,µM,0.28,Sample,12095903.13359948,0.0991677498553958,6.306205829584791e-12,548297.5504853505,0.9293444838719118
61,T98G-120,HDACi-Kinetics,1,C14,1538002.0,E09,Drug03,0.01997999997924,µM,0.06,Sample,1616066.7437837096,1.1970299842689216,3503.806832101844,-625281769.6438836,0.9377517273201376
62,T98G-120,HDACi-Kinetics,1,C15,1505596.0,H17,DMSO normalization,,,30.0,Ctrl,,,,,
63,T98G-120,HDACi-Kinetics,1,C16,1559633.0,E18,Drug10,2.131199549246,µM,6.4,Sample,1544798.8017998144,10.895200865899945,9.688435219264855,1373736.4483195792,0.5405351163953902
64,T98G-120,HDACi-Kinetics,1,C17,147863.0,H15,Drug16,0.01997999997924,µM,0.06,Sample,354848387.69082046,0.8862292879126265,1.4376109147590368e-06,123968.91562404,0.7897451517718742
65,T98G-120,HDACi-Kinetics,1,C18,1504188.0,F14,Drug04,0.004329000002453,µM,0.013,Sample,1583896.985394172,14.582690102723454,0.1162142596592887,1802918.9991030672,0.4311287574281437
66,T98G-120,HDACi-Kinetics,1,C19,1484447.0,F20,Drug13,0.004329000002453,µM,0.013,Sample,1471256.7510238844,12.087414100000789,0.2122302739663366,1628306.8812007618,0.9628472406110684
67,T98G-120,HDACi-Kinetics,1,C20,1452385.0,D16,Drug12,0.0932399991985,µM,0.28,Sample,1536776.8986932086,1.0499930632891057,13015.048906139942,-888280318.8461635,0.8242183357989478
68,T98G-120,HDACi-Kinetics,1,C21,1473012.0,E21,Drug10,0.01997999997924,µM,0.06,Sample,1544798.8017998144,10.895200865899945,9.688435219264855,1373736.4483195792,0.5405351163953902
69,T98G-120,HDACi-Kinetics,1,C22,1538223.0,E06,Drug03,2.131199549246,µM,6.4,Sample,1616066.7437837096,1.1970299842689216,3503.806832101844,-625281769.6438836,0.9377517273201376
70,T98G-120,HDACi-Kinetics,1,C23,,,,,,,,,,,,
71,T98G-120,HDACi-Kinetics,1,C24,,,,,,,,,,,,
72,T98G-120,HDACi-Kinetics,1,D01,,,,,,,,,,,,
73,T98G-120,HDACi-Kinetics,1,D02,,,,,,,,,,,,
74,T98G-120,HDACi-Kinetics,1,D03,1826599.0,G13,Drug01,9.99000000999,µM,30.0,Sample,1615518.796541364,10.773584351594296,10.397418087163768,2151290.5907300822,0.5180969074635882
75,T98G-120,HDACi-Kinetics,1,D04,2030527.0,F11,Drug04,0.452879980002,µM,1.36,Sample,1583896.985394172,14.582690102723454,0.1162142596592887,1802918.9991030672,0.4311287574281437
76,T98G-120,HDACi-Kinetics,1,D05,1784677.0,G10,Drug17,0.0932399991985,µM,0.28,Sample,346563557.99685675,8.924973269073936,0.0020880036278961,1552022.2874660967,0.7339892515848598
77,T98G-120,HDACi-Kinetics,1,D06,1656244.0,F09,Drug04,9.99000000999,µM,30.0,Sample,1583896.985394172,14.582690102723454,0.1162142596592887,1802918.9991030672,0.4311287574281437
78,T98G-120,HDACi-Kinetics,1,D07,1632190.0,D03,Drug07,0.452879980002,µM,1.36,Sample,1630669.9276899088,7.7513098727129615,2.81378982101929,603451.7072963708,0.9231015426449328
79,T98G-120,HDACi-Kinetics,1,D08,1614350.0,E03,Drug02,0.01997999997924,µM,0.06,Sample,12095903.13359948,0.0991677498553958,6.306205829584791e-12,548297.5504853505,0.9293444838719118
80,T98G-120,HDACi-Kinetics,1,D09,1828377.0,F03,Drug05,9.99000000999,µM,30.0,Sample,520428.6315679022,10.608804312648571,0.0038816082145101,1698507.2049121151,0.5490924813225482
81,T98G-120,HDACi-Kinetics,1,D10,1552244.0,H04,Drug14,0.004329000002453,µM,0.013,Sample,1592797.4609263055,1.0573835298885317,4.970468061787644,-414624.6416391841,0.9906652229414368
82,T98G-120,HDACi-Kinetics,1,D11,1696131.0,E08,Drug03,0.0932399991985,µM,0.28,Sample,1616066.7437837096,1.1970299842689216,3503.806832101844,-625281769.6438836,0.9377517273201376
83,T98G-120,HDACi-Kinetics,1,D12,1683302.0,G16,Drug01,0.0932399991985,µM,0.28,Sample,1615518.796541364,10.773584351594296,10.397418087163768,2151290.5907300822,0.5180969074635882
84,T98G-120,HDACi-Kinetics,1,D13,1552428.0,E07,Drug03,0.452879980002,µM,1.36,Sample,1616066.7437837096,1.1970299842689216,3503.806832101844,-625281769.6438836,0.9377517273201376
85,T98G-120,HDACi-Kinetics,1,D14,1502521.0,D15,Drug12,0.452879980002,µM,1.36,Sample,1536776.8986932086,1.0499930632891057,13015.048906139942,-888280318.8461635,0.8242183357989478
86,T98G-120,HDACi-Kinetics,1,D15,1555198.0,F04,Drug05,2.131199549246,µM,6.4,Sample,520428.6315679022,10.608804312648571,0.0038816082145101,1698507.2049121151,0.5490924813225482
87,T98G-120,HDACi-Kinetics,1,D16,1490601.0,D12,Drug06,0.004329000002453,µM,0.013,Sample,1609602.5000314936,13.01274287508349,2.4555591617225465,1095612.9939389704,0.564452036862811
88,T98G-120,HDACi-Kinetics,1,D17,1404306.0,D10,Drug06,0.0932399991985,µM,0.28,Sample,1609602.5000314936,13.01274287508349,2.4555591617225465,1095612.9939389704,0.564452036862811
89,T98G-120,HDACi-Kinetics,1,D18,1613450.0,F16,Drug13,2.131199549246,µM,6.4,Sample,1471256.7510238844,12.087414100000789,0.2122302739663366,1628306.8812007618,0.9628472406110684
90,T98G-120,HDACi-Kinetics,1,D19,1614305.0,E14,Drug15,0.0932399991985,µM,0.28,Sample,1706516.400800844,11.656350703715324,10.244465853608215,1000487.5062675896,0.3990951158877351
91,T98G-120,HDACi-Kinetics,1,D20,1052479.0,E05,Drug03,9.99000000999,µM,30.0,Sample,1616066.7437837096,1.1970299842689216,3503.806832101844,-625281769.6438836,0.9377517273201376
92,T98G-120,HDACi-Kinetics,1,D21,1498565.0,D21,Drug02,0.452879980002,µM,1.36,Sample,12095903.13359948,0.0991677498553958,6.306205829584791e-12,548297.5504853505,0.9293444838719118
93,T98G-120,HDACi-Kinetics,1,D22,1403805.0,G21,Drug14,0.452879980002,µM,1.36,Sample,1592797.4609263055,1.0573835298885317,4.970468061787644,-414624.6416391841,0.9906652229414368
94,T98G-120,HDACi-Kinetics,1,D23,,,,,,,,,,,,
95,T98G-120,HDACi-Kinetics,1,D24,,,,,,,,,,,,
96,T98G-120,HDACi-Kinetics,1,E01,,,,,,,,,,,,
97,T98G-120,HDACi-Kinetics,1,E02,,,,,,,,,,,,
98,T98G-120,HDACi-Kinetics,1,E03,1855969.0,C12,Drug09,0.0932399991985,µM,0.28,Sample,1637745.2492700852,12.202251805539246,2.3653845974636587,1462562.996068473,0.1888359725710385
99,T98G-120,HDACi-Kinetics,1,E04,1839025.0,C07,Drug11,0.01997999997924,µM,0.06,Sample,1660536.65075374,1.6863927509919714,6.707351362352599,-745715.9031201993,0.9688712282848958
100,T98G-120,HDACi-Kinetics,1,E05,1523878.0,C22,Drug07,2.131199549246,µM,6.4,Sample,1630669.9276899088,7.7513098727129615,2.81378982101929,603451.7072963708,0.9231015426449328
101,T98G-120,HDACi-Kinetics,1,E06,1544987.0,H19,DMSO normalization,,,30.0,Ctrl,,,,,
102,T98G-120,HDACi-Kinetics,1,E07,1457477.0,D06,Drug07,0.004329000002453,µM,0.013,Sample,1630669.9276899088,7.7513098727129615,2.81378982101929,603451.7072963708,0.9231015426449328
103,T98G-120,HDACi-Kinetics,1,E08,1657076.0,H20,DMSO normalization,,,30.0,Ctrl,,,,,
104,T98G-120,HDACi-Kinetics,1,E09,1748493.0,H07,Drug00,0.452879980002,µM,1.36,Sample,1612793.2134495128,12.942368762434247,7.613387244011268,591635.7536145793,0.9301738275954006
105,T98G-120,HDACi-Kinetics,1,E10,1651293.0,E10,Drug03,0.004329000002453,µM,0.013,Sample,1616066.7437837096,1.1970299842689216,3503.806832101844,-625281769.6438836,0.9377517273201376
106,T98G-120,HDACi-Kinetics,1,E11,1571464.0,E20,Drug10,0.0932399991985,µM,0.28,Sample,1544798.8017998144,10.895200865899945,9.688435219264855,1373736.4483195792,0.5405351163953902
107,T98G-120,HDACi-Kinetics,1,E12,1669624.0,C16,Drug08,2.131199549246,µM,6.4,Sample,1509874.9999536625,14.385512637965036,0.0200833463388686,1688803.750011439,0.310778932929708
108,T98G-120,HDACi-Kinetics,1,E13,1642046.0,F17,Drug13,0.452879980002,µM,1.36,Sample,1471256.7510238844,12.087414100000789,0.2122302739663366,1628306.8812007618,0.9628472406110684
109,T98G-120,HDACi-Kinetics,1,E14,1462563.0,C09,Drug09,9.99000000999,µM,30.0,Sample,1637745.2492700852,12.202251805539246,2.3653845974636587,1462562.996068473,0.1888359725710385
